"site_id","arithmean_level_par","arithmean_season_par","arithmean_trend_par","firstmax_level_par","firstmax_season_par","firstmax_trend_par"
1,0,1,0.499840475114867,0,1,0.499840475500762
2,0,1,0.499936139401744,0,1,0.499936139406405
3,0,1,0.499688663020858,0,1,0.49968866310451
5,0,1,0.499946960256322,0,1,0.499946960256322
7,0,1,0.499696491726182,0,1,0.499696492272259
8,0,1,0.499771156205462,0,1,0.499771156216831
9,0,1,0.499407199024626,0,1,0.499407208986326
10,0,1,0.499941570845225,0,1,0.499941570865757
11,0,1,0.499788097020158,0,1,0.499788097165502
12,0,1,0.499831797217009,0,1,0.499831798018903
13,0,1,0.499841524122344,0,1,0.499841524127008
14,0,1,0.499777965190604,0,1,0.499777965358031
16,-2.77555756156289e-17,1,0.499903520951766,0,1,0.499903532817135
17,0,1,0.499837740738171,0,1,0.499837741278362
18,0,1,0.499851902784634,0,1,0.49985190362727
19,0,1,0.499877742489012,0,1,0.499877742534958
21,0,1,0.499808352323303,0,1,0.499808360023224
22,0,1,0.499922312860846,0,1,0.4999223134317
23,0,1,0.499941620149228,0,1,0.49994162029796
24,0,1,0.499911192057904,0,1,0.499911192227992
25,0,1,0.499803639400716,0,1,0.499803644044413
27,0,1,0.49985635154408,0,1,0.499856351563517
28,0,1,0.49993774141512,0,1,0.499937741416995
29,0,1,0.499562984091161,0,1,0.499562985869219
30,0,1,0.499150787387162,0,1,0.49915079697276
32,0,1,0.499914845105407,0,1,0.499914845138222
33,0,1,0.499910511745314,0,1,0.499910512732088
35,0,1,0.49989467512961,0,1,0.49989467492229
36,0,1,0.499939487072368,0,1,0.499939487172871
37,0,1,0.499838793967731,0,1,0.499838794106386
39,0,1,0.499865787808031,0,1,0.499865787837656
40,0,1,0.499834101211773,0,1,0.499834101214969
42,0,1,0.499320335817962,0,1,0.499320338441556
43,0,1,0.498646457901423,0,1,0.498646477449284
44,0,1,0.499940389801877,0,1,0.499940389815441
45,0,1,0.499932474877621,0,1,0.499932475234047
47,0,1,0.499890077490805,0,1,0.499890086121147
48,0,1,0.499912027030291,0,1,0.499912028201595
49,0,1,0.499825104000189,0,1,0.499825104000189
50,0,1,0.499868405576474,0,1,0.49986842805302
51,0,1,0.499859469743418,0,1,0.499859471112749
52,0,1,0.499796990504255,0,1,0.499796994001477
54,0,1,0.49984983538098,0,1,0.499849841676357
56,0,1,0.49993140857455,0,1,0.499931408938375
57,0,1,0.499945949169558,0,1,0.499945949337617
59,0,1,0.499748278987343,0,1,0.499748279433708
60,0,1,0.499786515963878,0,1,0.499786535936518
61,0,1,0.499881879807535,0,1,0.499881880405997
62,0,1,0.499938385732782,0,1,0.499938385832312
63,0,1,0.499902650378752,0,1,0.49990265043678
65,0,1,0.49989367845228,0,1,0.49989367845236
66,0,1,0.499686190933762,0,1,0.499686194475931
67,0,1,0.49958578558676,0,1,0.499585790502653
68,0,1,0.499918575996913,0,1,0.499918577036558
69,0,1,0.499935323033795,0,1,0.499935323033795
71,0,1,0.499928655226067,0,1,0.499928655297634
72,0,1,0.499711394240727,0,1,0.499711395083322
74,0,1,0.499690853208121,0,1,0.499690853267169
75,0,1,0.499917015071368,0,1,0.499917020927802
76,0,1,0.49978180874698,0,1,0.499781813844399
77,0,1,0.499700323746434,0,1,0.499700330113348
79,0,1,0.499704435147333,0,1,0.499704437931932
81,0,1,0.499932935977809,0,1,0.499932936631979
82,0,1,0.49972429529238,0,1,0.499724295426758
83,0,1,0.499905492640614,0,1,0.499905493532463
85,0,1,0.499755378811722,0,1,0.499755379022532
86,0,1,0.499920783377323,0,1,0.499920783444722
87,0,1,0.499695499560754,0,1,0.499695503124754
88,0,1,0.495191245049216,0,1,0.49519125358504
89,0,1,0.49742251219237,0,1,0.497422516823413
90,0,1,0.499931244281337,0,1,0.49993124542013
91,0,1,0.499772217746695,0,1,0.499772223481518
92,0,1,0.499922865506432,0,1,0.499922865731412
93,0,1,0.499599362333443,0,1,0.499599366088495
94,0,1,0.499745836513045,0,1,0.499745836718624
95,0,1,0.499934254888418,0,1,0.499934255635019
96,0,1,0.499870009407342,0,1,0.499870009412796
97,0,1,0.499903829417229,0,1,0.499903830075912
98,0,1,0.499433953110951,0,1,0.499433960080771
99,0,1,0.499876902008895,0,1,0.499876902035227
101,0,1,0.499844394540666,0,1,0.499844396453817
103,0,1,0.4999344867776,0,1,0.49993448719618
104,0,1,0.499793263609403,0,1,0.499793270926736
107,0,1,0.499919284695032,0,1,0.499919284833522
108,0,1,0.49976288430646,0,1,0.499762890672476
110,0,1,0.499882353792893,0,1,0.499882354712971
111,0,1,0.499885374767622,0,1,0.499885381516196
112,0,1,0.499876591433527,0,1,0.499876591610853
113,0,1,0.499908561573412,0,1,0.499908561615394
114,0,1,0.49949038913364,0,1,0.499490400331687
115,0,1,0.296821326558747,0,1,0.296822275211629
116,0,1,0.499626751223955,0,1,0.499626755328101
117,0,1,0.499785524904031,0,1,0.499785528257677
118,0,1,0.499881157902228,0,1,0.499881162509111
119,0,1,0.499895410558704,0,1,0.499895415355882
120,0,1,0.499868731467468,0,1,0.499868731471867
121,0,1,0.493257828239863,0,1,0.493257835804228
122,0,1,0.499787104457065,0,1,0.49978710990608
123,0,1,0.499870307164923,0,1,0.499870307483948
125,0,1,0.499899649832719,0,1,0.499899651257988
127,0,1,0.499660010950439,0,1,0.499660011495401
128,-2.77555756156289e-17,1,0.499903684370395,0,1,0.499903684413406
129,0,1,0.499919789143763,0,1,0.499919789899402
130,0,1,0.499925920831159,0,1,0.499925923075394
